issn,year,volume,issue,n
74027,1975,73,3,5
74027,1976,74,1,8
74027,1976,74,2,5
74027,1976,74,3-4,14
74027,1980,75,1-2,20
74027,1980,75,3-4,16
74027,1981,76,1,11
74027,1981,76,2,12
74027,1981,76,3,10
74027,1981,76,4,10
74027,1982,77,1,10
74027,1982,77,2,10
74027,1982,77,3,10
74027,1982,77,4,14
74027,1983,78,1,13
74027,1983,78,2,13
74027,1983,78,3,13
74027,1983,78,4,16
74027,1984,79,1,14
74027,1984,79,2,16
74027,1984,79,3,21
74027,1984,79,4,21
74027,1984,79,suppl,29
74027,1985,80,1,18
74027,1985,80,2,21
74027,1985,80,3,17
74027,1985,80,4,17
74027,1986,81,1,20
74027,1986,81,2,19
74027,1986,81,3,13
74027,1986,81,4,18
74027,1986,81,suppl 2,43
74027,1987,82,1,28
74027,1987,82,2,20
74027,1987,82,3,23
74027,1987,82,4,23
74027,1987,82,suppl 1,15
74027,1987,82,suppl 2,26
74027,1987,82,suppl 3,28
74027,1987,82,suppl 4,71
74027,1988,83,1,20
74027,1988,83,2,21
74027,1988,83,3,21
74027,1988,83,4,25
74027,1988,83,suppl 1,76
74027,1989,84,1,26
74027,1989,84,2,22
74027,1989,84,3,24
74027,1989,84,4,24
74027,1989,84,suppl 1,21
74027,1989,84,suppl 3,24
74027,1989,84,suppl 4,97
74027,1990,85,1,28
74027,1990,85,2,22
74027,1990,85,3,20
74027,1990,85,4,28
74027,1991,86,1,25
74027,1991,86,2,19
74027,1991,86,3,15
74027,1991,86,4,31
74027,1991,86,suppl 2,54
74027,1991,86,suppl 3,28
74027,1992,87,1,28
74027,1992,87,2,30
74027,1992,87,3,25
74027,1992,87,4,24
74027,1992,87,suppl 1,57
74027,1992,87,suppl 3,74
74027,1992,87,suppl 4,57
74027,1992,87,suppl 5,24
74027,1993,88,1,31
74027,1993,88,2,30
74027,1993,88,3,25
74027,1993,88,4,26
74027,1994,89,1,27
74027,1994,89,2,32
74027,1994,89,3,36
74027,1994,89,4,25
74027,1994,89,suppl 2,25
74027,1995,90,1,27
74027,1995,90,2,34
74027,1995,90,3,23
74027,1995,90,4,25
74027,1995,90,5,24
74027,1995,90,6,21
74027,1996,91,1,26
74027,1996,91,2,26
74027,1996,91,3,26
74027,1996,91,4,21
74027,1996,91,5,19
74027,1996,91,6,29
74027,1997,92,1,30
74027,1997,92,2,26
74027,1997,92,3,23
74027,1997,92,4,26
74027,1997,92,5,30
74027,1997,92,6,25
74027,1997,92,suppl 1,8
74027,1997,92,suppl 2,35
74027,1998,93,1,25
74027,1998,93,2,28
74027,1998,93,3,29
74027,1998,93,4,26
74027,1998,93,5,25
74027,1998,93,6,31
74027,1998,93,suppl 1,62
74027,1998,93,suppl 2,8
74027,1999,94,1,26
74027,1999,94,2,28
74027,1999,94,3,26
74027,1999,94,4,26
74027,1999,94,5,28
74027,1999,94,6,27
74027,1999,94,suppl 1,85
74027,1999,94,suppl 2,10
74027,2000,95,1,23
74027,2000,95,2,25
74027,2000,95,3,21
74027,2000,95,4,25
74027,2000,95,5,25
74027,2000,95,6,29
74027,2000,95,suppl 1,38
74027,2001,96,1,16
74027,2001,96,2,24
74027,2001,96,3,26
74027,2001,96,4,23
74027,2001,96,5,29
74027,2001,96,6,26
74027,2001,96,7,25
74027,2001,96,8,28
74027,2001,96,suppl,30
74027,2002,97,1,25
74027,2002,97,2,26
74027,2002,97,3,32
74027,2002,97,4,28
74027,2002,97,5,30
74027,2002,97,6,30
74027,2002,97,7,22
74027,2002,97,8,27
74027,2002,97,suppl 1,36
74027,2003,98,1,19
74027,2003,98,2,21
74027,2003,98,3,26
74027,2003,98,4,28
74027,2003,98,5,22
74027,2003,98,6,25
74027,2003,98,7,21
74027,2003,98,8,25
74027,2003,98,suppl 1,30
74027,2004,99,1,21
74027,2004,99,2,22
74027,2004,99,3,18
74027,2004,99,4,16
74027,2004,99,5,15
74027,2004,99,6,22
74027,2004,99,7,20
74027,2004,99,8,19
74027,2004,99,suppl 1,23
74027,2005,100,1,18
74027,2005,100,2,17
74027,2005,100,3,21
74027,2005,100,4,19
74027,2005,100,5,19
74027,2005,100,6,13
74027,2005,100,7,23
74027,2005,100,8,16
74027,2005,100,suppl 1,39
74027,2006,101,1,24
74027,2006,101,2,17
74027,2006,101,3,22
74027,2006,101,4,19
74027,2006,101,5,16
74027,2006,101,6,20
74027,2006,101,7,17
74027,2006,101,8,19
74027,2006,101,suppl 1,61
74027,2006,101,suppl 2,22
74027,2007,102,1,22
74027,2007,102,2,21
74027,2007,102,3,23
74027,2007,102,4,19
74027,2007,102,5,20
74027,2007,102,6,19
74027,2007,102,7,19
74027,2007,102,8,19
74027,2007,102,suppl 1,18
74027,2008,103,1,21
74027,2008,103,2,17
74027,2008,103,3,15
74027,2008,103,4,18
74027,2008,103,5,21
74027,2008,103,6,21
74027,2008,103,7,20
74027,2008,103,8,18
74027,2009,104,1,20
74027,2009,104,2,38
74027,2009,104,3,21
74027,2009,104,4,25
74027,2009,104,5,24
74027,2009,104,6,23
74027,2009,104,7,21
74027,2009,104,8,22
74027,2009,104,suppl 1,42
74027,2010,105,1,21
74027,2010,105,2,22
74027,2010,105,3,21
74027,2010,105,4,40
74027,2010,105,5,22
74027,2010,105,6,19
74027,2010,105,7,21
74027,2010,105,8,21
74027,2011,106,1,19
74027,2011,106,2,23
74027,2011,106,3,24
74027,2011,106,4,22
74027,2011,106,5,22
74027,2011,106,6,23
74027,2011,106,7,17
74027,2011,106,8,27
74027,2011,106,suppl 1,28
74027,2012,107,1,22
74027,2012,107,2,21
74027,2012,107,3,22
74027,2012,107,4,24
74027,2012,107,5,23
74027,2012,107,6,21
74027,2012,107,7,23
74027,2012,107,8,22
74027,2012,107,suppl 1,29
74027,2013,108,1,24
74027,2013,108,2,23
74027,2013,108,3,21
74027,2013,108,4,23
74027,2013,108,5,22
74027,2013,108,6,22
74027,2013,108,7,22
74027,2013,108,8,20
74027,2013,108,suppl 1,15
74027,2014,109,1,17
74027,2014,109,2,20
74027,2014,109,3,21
74027,2014,109,4,21
74027,2014,109,5,19
74027,2014,109,6,21
74027,2014,109,7,22
74027,2014,109,8,19
74027,2015,0,0,1
74027,2015,110,1,17
74027,2015,110,2,18
74027,2015,110,3,20
74027,2015,110,4,20
74027,2015,110,5,20
74027,2015,110,6,20
74027,2015,110,7,12
74027,2015,110,8,14
74027,2016,111,1,10
74027,2016,111,10,10
74027,2016,111,11,10
74027,2016,111,12,10
74027,2016,111,2,10
74027,2016,111,3,10
74027,2016,111,4,10
74027,2016,111,5,11
74027,2016,111,6,11
74027,2016,111,7,10
74027,2016,111,8,10
74027,2016,111,9,11
74027,2017,0,0,1
74027,2017,112,1,10
74027,2017,112,2,9
74027,2017,112,3,10
74027,2017,112,4,10
74027,2017,112,5,10
74027,2017,112,6,11
74027,2017,112,7,10
