uid,authors,pub_year,pub_month,title,summary
3031959,"Fagbami AH, Halstead SB","1986","Sep-Oct","Antibody-mediated enhancement of Wesselsbron virus in P388D1 cells.","Fagbami AH, Halstead SB.Antibody-mediated enhancement of Wesselsbron virus in P388D1 cells. Afr J Med Med Sci. 1986 Sep-Oct; 15(3-4):103-7." 
4378566,"Goma LK","1965","Oct","The flight activity of some East African mosquitos (Diptera, Culicidae). I. Studies on a high steel tower in Zika Forest, Uganda.","Goma LK.The flight activity of some East African mosquitos (Diptera, Culicidae). I. Studies on a high steel tower in Zika Forest, Uganda. Bull Entomol Res. 1965 Oct; 56(1):17-35." 
4403105,"Lee VH, Moore DL","1972","","Vectors of the 1969 yellow fever epidemic on the Jos Plateau, Nigeria.","Lee VH, Moore DL.Vectors of the 1969 yellow fever epidemic on the Jos Plateau, Nigeria. Bull World Health Organ. 1972; 46(5):669-73." 
4546521,"Monath TP, Wilson DC, Casals J","1973","","The 1970 yellow fever epidemic in Okwoga District, Benue Plateau State, Nigeria. 3. Serological responses in persons with and without pre-existing heterologous group B immunity.","Monath TP, Wilson DC, Casals J.The 1970 yellow fever epidemic in Okwoga District, Benue Plateau State, Nigeria. 3. Serological responses in persons with and without pre-existing heterologous group B immunity. Bull World Health Organ. 1973; 49(3):235-44." 
4799154,"Filipe AR, Martins CM, Rocha H","1973","","Laboratory infection with Zika virus after vaccination against yellow fever.","Filipe AR, Martins CM, Rocha H.Laboratory infection with Zika virus after vaccination against yellow fever. Arch Gesamte Virusforsch. 1973; 43(4):315-9." 
4946541,"Vraćević M","1971","Mar","[Zika b. Marković, M.D. (19 September 1889--3 September 1970)].","Vraćević M.[Zika b. Marković, M.D. (19 September 1889--3 September 1970)]. Srp Arh Celok Lek. 1971 Mar; 99(3):209-11." 
4976739,"Marchette NJ, Garcia R, Rudnick A","1969","May","Isolation of Zika virus from Aedes aegypti mosquitoes in Malaysia.","Marchette NJ, Garcia R, Rudnick A.Isolation of Zika virus from Aedes aegypti mosquitoes in Malaysia. Am J Trop Med Hyg. 1969 May; 18(3):411-5." 
5002906,"Bell TM, Field EJ, Narang HK","1971","","Zika virus infection of the central nervous system of mice.","Bell TM, Field EJ, Narang HK.Zika virus infection of the central nervous system of mice. Arch Gesamte Virusforsch. 1971; 35(2):183-93." 
5313066,"Geser A, Henderson BE, Christensen S","1970","","A multipurpose serological survey in Kenya. 2. Results of arbovirus serological tests.","Geser A, Henderson BE, Christensen S.A multipurpose serological survey in Kenya. 2. Results of arbovirus serological tests. Bull World Health Organ. 1970; 43(4):539-52." 
6206738,"Monath TP, Schlesinger JJ, Brandriss MW, Cropp CB, Prange WC","1984","Jul","Yellow fever monoclonal antibodies: type-specific and cross-reactive determinants identified by immunofluorescence.","Monath TP, Schlesinger JJ, Brandriss MW, Cropp CB, Prange WC.Yellow fever monoclonal antibodies: type-specific and cross-reactive determinants identified by immunofluorescence. Am J Trop Med Hyg. 1984 Jul; 33(4):695-8." 
6268925,"Chippaux A, Chippaux-Hyppolite Cl, Monteny-Vandervorst N, Souloumiac-Deprez D","1981","Jan-Feb","[Several yellow fever cases in an endemic area in Ivory Coast: serological and epidemiological evidence (author's transl)].","Chippaux A, Chippaux-Hyppolite Cl, Monteny-Vandervorst N, Souloumiac-Deprez D.[Several yellow fever cases in an endemic area in Ivory Coast: serological and epidemiological evidence (author's transl)]. Med Trop (Mars). 1981 Jan-Feb; 41(1):53-61." 
6274526,"Saluzzo JF, Gonzalez JP, Hervé JP, Georges AJ","1981","Sep-Oct","[Serological survey for the prevalence of certain arboviruses in the human population of the south-east area of Central African Republic (author's transl)].","Saluzzo JF, Gonzalez JP, Hervé JP, Georges AJ.[Serological survey for the prevalence of certain arboviruses in the human population of the south-east area of Central African Republic (author's transl)]. Bull Soc Pathol Exot Filiales. 1981 Sep-Oct; 74(5):490-9." 
6275577,"Olson JG, Ksiazek TG, Suhandiman, Triwibowo","1981","","Zika virus, a cause of fever in Central Java, Indonesia.","Olson JG, Ksiazek TG, Suhandiman, Triwibowo.Zika virus, a cause of fever in Central Java, Indonesia. Trans R Soc Trop Med Hyg. 1981; 75(3):389-93." 
6304948,"McCrae AW, Kirya BG","1982","","Yellow fever and Zika virus epizootics and enzootics in Uganda.","McCrae AW, Kirya BG.Yellow fever and Zika virus epizootics and enzootics in Uganda. Trans R Soc Trop Med Hyg. 1982; 76(4):552-62." 
6306872,"Adekolu-John EO, Fagbami AH","1983","","Arthropod-borne virus antibodies in sera of residents of Kainji Lake Basin, Nigeria 1980.","Adekolu-John EO, Fagbami AH.Arthropod-borne virus antibodies in sera of residents of Kainji Lake Basin, Nigeria 1980. Trans R Soc Trop Med Hyg. 1983; 77(2):149-51." 
6309104,"Olson JG, Ksiazek TG, Gubler DJ, Lubis SI, Simanjuntak G, Lee VH, Nalim S, Juslis K, See R","1983","Apr","A survey for arboviral antibodies in sera of humans and animals in Lombok, Republic of Indonesia.","Olson JG, Ksiazek TG, Gubler DJ, Lubis SI, Simanjuntak G, Lee VH, Nalim S, Juslis K, See R.A survey for arboviral antibodies in sera of humans and animals in Lombok, Republic of Indonesia. Ann Trop Med Parasitol. 1983 Apr; 77(2):131-7." 
6314612,"Darwish MA, Hoogstraal H, Roberts TJ, Ahmed IP, Omar F","1983","","A sero-epidemiological survey for certain arboviruses (Togaviridae) in Pakistan.","Darwish MA, Hoogstraal H, Roberts TJ, Ahmed IP, Omar F.A sero-epidemiological survey for certain arboviruses (Togaviridae) in Pakistan. Trans R Soc Trop Med Hyg. 1983; 77(4):442-5." 
6809352,"Saluzzo JF, Ivanoff B, Languillat G, Georges AJ","1982","May-Jul","[Serological survey for arbovirus antibodies in the human and simian populations of the South-East of Gabon (author's transl)].","Saluzzo JF, Ivanoff B, Languillat G, Georges AJ.[Serological survey for arbovirus antibodies in the human and simian populations of the South-East of Gabon (author's transl)]. Bull Soc Pathol Exot Filiales. 1982 May-Jul; 75(3):262-6." 
7406113,"Monath TP, Craven RB, Muth DJ, Trautt CJ, Calisher CH, Fitzgerald SA","1980","Jul","Limitations of the complement-fixation test for distinguishing naturally acquired from vaccine-induced yellow fever infection in flavivirus-hyperendemic areas.","Monath TP, Craven RB, Muth DJ, Trautt CJ, Calisher CH, Fitzgerald SA.Limitations of the complement-fixation test for distinguishing naturally acquired from vaccine-induced yellow fever infection in flavivirus-hyperendemic areas. Am J Trop Med Hyg. 1980 Jul; 29(4):624-34." 
7520190,"Pierre V, Drouet MT, Deubel V","1994","Mar-Apr","Identification of mosquito-borne flavivirus sequences using universal primers and reverse transcription/polymerase chain reaction.","Pierre V, Drouet MT, Deubel V.Identification of mosquito-borne flavivirus sequences using universal primers and reverse transcription/polymerase chain reaction. Res Virol. 1994 Mar-Apr; 145(2):93-104." 
8067992,"Bigler L, Oester H","1994","Jun","[Raising pairs of young non-reproducing female rabbits in cages].","Bigler L, Oester H.[Raising pairs of young non-reproducing female rabbits in cages]. Berl Munch Tierarztl Wochenschr. 1994 Jun; 107(6):202-5." 
8099299,"Monlun E, Zeller H, Le Guenno B, Traoré-Lamizana M, Hervy JP, Adam F, Ferrara L, Fontenille D, Sylla R, Mondo M","1993","","[Surveillance of the circulation of arbovirus of medical interest in the region of eastern Senegal].","Monlun E, Zeller H, Le Guenno B, Traoré-Lamizana M, Hervy JP, Adam F, Ferrara L, Fontenille D, Sylla R, Mondo M.[Surveillance of the circulation of arbovirus of medical interest in the region of eastern Senegal]. Bull Soc Pathol Exot. 1993; 86(1):21-8." 
8758061,"Rodier GR, Gubler DJ, Cope SE, Cropp CB, Soliman AK, Polycarpe D, Abdourhaman MA, Parra JP, Maslin J, Arthur RR","1996","May-Jun","Epidemic dengue 2 in the city of Djibouti 1991-1992.","Rodier GR, Gubler DJ, Cope SE, Cropp CB, Soliman AK, Polycarpe D, Abdourhaman MA, Parra JP, Maslin J, Arthur RR.Epidemic dengue 2 in the city of Djibouti 1991-1992. Trans R Soc Trop Med Hyg. 1996 May-Jun; 90(3):237-40." 
9005840,"Drescher B, Reiter J","1996","Aug","[The optimization of group size for fattening rabbits in group housing on grids made of artificial material].","Drescher B, Reiter J.[The optimization of group size for fattening rabbits in group housing on grids made of artificial material]. Berl Munch Tierarztl Wochenschr. 1996 Aug; 109(8):304-8." 
9045499,"Pavlásek I, Lávicka M, Tůmová E, Skrivan M","1996","Dec","[Spontaneous Cryptosporidium infection in weaned rabbits].","Pavlásek I, Lávicka M, Tůmová E, Skrivan M.[Spontaneous Cryptosporidium infection in weaned rabbits]. Vet Med (Praha). 1996 Dec; 41(12):361-6." 
9513297,"Seitz K, Hoy S, Lange K","1998","Feb","[Effect of various factors on the suckling behavior of domestic rabbits].","Seitz K, Hoy S, Lange K.[Effect of various factors on the suckling behavior of domestic rabbits]. Berl Munch Tierarztl Wochenschr. 1998 Feb; 111(2):48-52." 
9738478,"Peskin AV, Labas YA, Tikhonov AN","1998","Aug","Superoxide radical production by sponges Sycon sp.","Peskin AV, Labas YA, Tikhonov AN.Superoxide radical production by sponges Sycon sp. FEBS Lett. 1998 Aug 28; 434(1-2):201-4." 
10099030,"Baba SS, Fagbami AH, Ojeh CK","1999","Jan","Preliminary studies on the use of solid-phase immunosorbent techniques for the rapid detection of Wesselsbron virus (WSLV) IgM by haemagglutination-inhibition.","Baba SS, Fagbami AH, Ojeh CK.Preliminary studies on the use of solid-phase immunosorbent techniques for the rapid detection of Wesselsbron virus (WSLV) IgM by haemagglutination-inhibition. Comp Immunol Microbiol Infect Dis. 1999 Jan; 22(1):71-9." 
10436653,"Baba SS, Fagbami AH, Olaleye OD","1998","Nov-Dec","Antigenic relatedness of selected flaviviruses: study with homologous and heterologous immune mouse ascitic fluids.","Baba SS, Fagbami AH, Olaleye OD.Antigenic relatedness of selected flaviviruses: study with homologous and heterologous immune mouse ascitic fluids. Rev Inst Med Trop Sao Paulo. 1998 Nov-Dec; 40(6):343-9." 
11463123,"Wolfe ND, Kilbourn AM, Karesh WB, Rahman HA, Bosi EJ, Cropp BC, Andau M, Spielman A, Gubler DJ","2001","May-Jun","Sylvatic transmission of arboviruses among Bornean orangutans.","Wolfe ND, Kilbourn AM, Karesh WB, Rahman HA, Bosi EJ, Cropp BC, Andau M, Spielman A, Gubler DJ.Sylvatic transmission of arboviruses among Bornean orangutans. Am J Trop Med Hyg. 2001 May-Jun; 64(5-6):310-6." 
11681215,"Akoua-Koffi C, Diarrassouba S, Bénié VB, Ngbichi JM, Bozoua T, Bosson A, Akran V, Carnevale P, Ehouman A","2001","Aug","[Investigation surrounding a fatal case of yellow fever in Côte d'Ivoire in 1999].","Akoua-Koffi C, Diarrassouba S, Bénié VB, Ngbichi JM, Bozoua T, Bosson A, Akran V, Carnevale P, Ehouman A.[Investigation surrounding a fatal case of yellow fever in Côte d'Ivoire in 1999]. Bull Soc Pathol Exot. 2001 Aug; 94(3):227-30." 
12685070,"Kilbourn AM, Karesh WB, Wolfe ND, Bosi EJ, Cook RA, Andau M","2003","Jan","Health evaluation of free-ranging and semi-captive orangutans (Pongo pygmaeus pygmaeus) in Sabah, Malaysia.","Kilbourn AM, Karesh WB, Wolfe ND, Bosi EJ, Cook RA, Andau M.Health evaluation of free-ranging and semi-captive orangutans (Pongo pygmaeus pygmaeus) in Sabah, Malaysia. J Wildl Dis. 2003 Jan; 39(1):73-83." 
12995440,"DICK GW, KITCHEN SF, HADDOW AJ","1952","Sep","Zika virus. I. Isolations and serological specificity.","DICK GW, KITCHEN SF, HADDOW AJ.Zika virus. I. Isolations and serological specificity. Trans R Soc Trop Med Hyg. 1952 Sep; 46(5):509-20." 
12995441,"DICK GW","1952","Sep","Zika virus. II. Pathogenicity and physical properties.","DICK GW.Zika virus. II. Pathogenicity and physical properties. Trans R Soc Trop Med Hyg. 1952 Sep; 46(5):521-34." 
13077401,"REAGAN RL, BRUECKNER AL","1953","","Comparison by electron microscopy of the Ntaya and Zika viruses.","REAGAN RL, BRUECKNER AL.Comparison by electron microscopy of the Ntaya and Zika viruses. Tex Rep Biol Med. 1953; 11(2):347-51." 
13077697,"DICK GW","1953","Jan","Epidemiological notes on some viruses isolated in Uganda; Yellow fever, Rift Valley fever, Bwamba fever, West Nile, Mengo, Semliki forest, Bunyamwera, Ntaya, Uganda S and Zika viruses.","DICK GW.Epidemiological notes on some viruses isolated in Uganda; Yellow fever, Rift Valley fever, Bwamba fever, West Nile, Mengo, Semliki forest, Bunyamwera, Ntaya, Uganda S and Zika viruses. Trans R Soc Trop Med Hyg. 1953 Jan; 47(1):13-48." 
13157159,"MACNAMARA FN","1954","Mar","Zika virus: a report on three cases of human infection during an epidemic of jaundice in Nigeria.","MACNAMARA FN.Zika virus: a report on three cases of human infection during an epidemic of jaundice in Nigeria. Trans R Soc Trop Med Hyg. 1954 Mar; 48(2):139-45." 
13281796,"REAGAN RL, CHANG SC, BRUECKNER AL","1955","","Electron micrographs of erythrocytes from Swiss albino mice infected with Zika virus.","REAGAN RL, CHANG SC, BRUECKNER AL.Electron micrographs of erythrocytes from Swiss albino mice infected with Zika virus. Tex Rep Biol Med. 1955; 13(4):934-8." 
13337908,"BOORMAN JP, PORTERFIELD JS","1956","May","A simple technique for infection of mosquitoes with viruses; transmission of Zika virus.","BOORMAN JP, PORTERFIELD JS.A simple technique for infection of mosquitoes with viruses; transmission of Zika virus. Trans R Soc Trop Med Hyg. 1956 May; 50(3):238-42." 
13380987,"BEARCROFT WG","1956","Sep","Zika virus infection experimentally induced in a human volunteer.","BEARCROFT WG.Zika virus infection experimentally induced in a human volunteer. Trans R Soc Trop Med Hyg. 1956 Sep; 50(5):442-8." 
13556872,"WEINBREN MP, WILLIAMS MC","1958","May","Zika virus: further isolations in the Zika area, and some studies on the strains isolated.","WEINBREN MP, WILLIAMS MC.Zika virus: further isolations in the Zika area, and some studies on the strains isolated. Trans R Soc Trop Med Hyg. 1958 May; 52(3):263-8." 
14175744,"SIMPSON DI","1964","Jul","ZIKA VIRUS INFECTION IN MAN.","SIMPSON DI.ZIKA VIRUS INFECTION IN MAN. Trans R Soc Trop Med Hyg. 1964 Jul; 58:335-8." 
14230895,"HADDOW AJ, WILLIAMS MC, WOODALL JP, SIMPSON DI, GOMA LK","1964","","TWELVE ISOLATIONS OF ZIKA VIRUS FROM AEDES (STEGOMYIA) AFRICANUS (THEOBALD) TAKEN IN AND ABOVE A UGANDA FOREST.","HADDOW AJ, WILLIAMS MC, WOODALL JP, SIMPSON DI, GOMA LK.TWELVE ISOLATIONS OF ZIKA VIRUS FROM AEDES (STEGOMYIA) AFRICANUS (THEOBALD) TAKEN IN AND ABOVE A UGANDA FOREST. Bull World Health Organ. 1964; 31:57-69." 
17195954,"Kuno G, Chang GJ","2007","","Full-length sequencing and genomic characterization of Bagaza, Kedougou, and Zika viruses.","Kuno G, Chang GJ.Full-length sequencing and genomic characterization of Bagaza, Kedougou, and Zika viruses. Arch Virol. 2007; 152(4):687-96." 
18674965,"Faye O, Faye O, Dupressoir A, Weidmann M, Ndiaye M, Alpha Sall A","2008","Sep","One-step RT-PCR for detection of Zika virus.","Faye O, Faye O, Dupressoir A, Weidmann M, Ndiaye M, Alpha Sall A.One-step RT-PCR for detection of Zika virus. J Clin Virol. 2008 Sep; 43(1):96-101." 
18680646,"Lanciotti RS, Kosoy OL, Laven JJ, Velez JO, Lambert AJ, Johnson AJ, Stanfield SM, Duffy MR","2008","Aug","Genetic and serologic properties of Zika virus associated with an epidemic, Yap State, Micronesia, 2007.","Lanciotti RS, Kosoy OL, Laven JJ, Velez JO, Lambert AJ, Johnson AJ, Stanfield SM, Duffy MR.Genetic and serologic properties of Zika virus associated with an epidemic, Yap State, Micronesia, 2007. Emerg Infect Dis. 2008 Aug; 14(8):1232-9." 
18771865,"Barboza P, Tarantola A, Lassel L, Mollet T, Quatresous I, Paquet C","2008","Oct","[Emerging viral infections in South East Asia and the Pacific region].","Barboza P, Tarantola A, Lassel L, Mollet T, Quatresous I, Paquet C.[Emerging viral infections in South East Asia and the Pacific region]. Med Mal Infect. 2008 Oct; 38(10):513-23." 
19073551,"Deng XS, Wan J, Chen SY, Wang Y, Lai SJ, Jiang MS, Xu M","2008","Nov","[The correlations between polymorphism of growth hormone receptor gene and butcher traits in rabbit].","Deng XS, Wan J, Chen SY, Wang Y, Lai SJ, Jiang MS, Xu M.[The correlations between polymorphism of growth hormone receptor gene and butcher traits in rabbit]. Yi Chuan. 2008 Nov; 30(11):1427-32." 
19073572,"Jiang MS, Chen SY, Lai SJ, Deng XS, Chen Y, Wan J","2008","Dec","[Association between single nucleotide polymorphism of MC4R gene and carcass traits in rabbits].","Jiang MS, Chen SY, Lai SJ, Deng XS, Chen Y, Wan J.[Association between single nucleotide polymorphism of MC4R gene and carcass traits in rabbits]. Yi Chuan. 2008 Dec; 30(12):1574-8." 
19516034,"Duffy MR, Chen TH, Hancock WT, Powers AM, Kool JL, Lanciotti RS, Pretrick M, Marfel M, Holzbauer S, Dubray C, Guillaumot L, Griggs A, Bel M, Lambert AJ, Laven J, Kosoy O, Panella A, Biggerstaff BJ, Fischer M, Hayes EB","2009","Jun","Zika virus outbreak on Yap Island, Federated States of Micronesia.","Duffy MR, Chen TH, Hancock WT, Powers AM, Kool JL, Lanciotti RS, Pretrick M, Marfel M, Holzbauer S, Dubray C, Guillaumot L, Griggs A, Bel M, Lambert AJ, Laven J, Kosoy O, Panella A, Biggerstaff BJ, Fischer M, Hayes EB.Zika virus outbreak on Yap Island, Federated States of Micronesia. N Engl J Med. 2009 Jun 11; 360(24):2536-43." 
19725383,"Duong V, Vong S, Buchy P","2009","Aug","[Dengue and other arboviral diseases in South-East Asia].","Duong V, Vong S, Buchy P.[Dengue and other arboviral diseases in South-East Asia]. Med Trop (Mars). 2009 Aug; 69(4):339-44." 
19762169,"Weissenböck H, Hubálek Z, Bakonyi T, Nowotny N","2010","Jan","Zoonotic mosquito-borne flaviviruses: worldwide presence of agents with proven pathogenicity and potential candidates of future emerging diseases.","Weissenböck H, Hubálek Z, Bakonyi T, Nowotny N.Zoonotic mosquito-borne flaviviruses: worldwide presence of agents with proven pathogenicity and potential candidates of future emerging diseases. Vet Microbiol. 2010 Jan 27; 140(3-4):271-80." 
19788800,"Hayes EB","2009","Sep","Zika virus outside Africa.","Hayes EB.Zika virus outside Africa. Emerg Infect Dis. 2009 Sep; 15(9):1347-50." 
21529401,"Foy BD, Kobylinski KC, Chilson Foy JL, Blitvich BJ, Travassos da Rosa A, Haddow AD, Lanciotti RS, Tesh RB","2011","May","Probable non-vector-borne transmission of Zika virus, Colorado, USA.","Foy BD, Kobylinski KC, Chilson Foy JL, Blitvich BJ, Travassos da Rosa A, Haddow AD, Lanciotti RS, Tesh RB.Probable non-vector-borne transmission of Zika virus, Colorado, USA. Emerg Infect Dis. 2011 May; 17(5):880-2." 
22305269,"Heang V, Yasuda CY, Sovann L, Haddow AD, Travassos da Rosa AP, Tesh RB, Kasper MR","2012","Feb","Zika virus infection, Cambodia, 2010.","Heang V, Yasuda CY, Sovann L, Haddow AD, Travassos da Rosa AP, Tesh RB, Kasper MR.Zika virus infection, Cambodia, 2010. Emerg Infect Dis. 2012 Feb; 18(2):349-51." 
22389730,"Haddow AD, Schuh AJ, Yasuda CY, Kasper MR, Heang V, Huy R, Guzman H, Tesh RB, Weaver SC","2012","","Genetic characterization of Zika virus strains: geographic expansion of the Asian lineage.","Haddow AD, Schuh AJ, Yasuda CY, Kasper MR, Heang V, Huy R, Guzman H, Tesh RB, Weaver SC.Genetic characterization of Zika virus strains: geographic expansion of the Asian lineage. PLoS Negl Trop Dis. 2012; 6(2):e1477." 
22825831,"Balm MN, Lee CK, Lee HK, Chiu L, Koay ES, Tang JW","2012","Sep","A diagnostic polymerase chain reaction assay for Zika virus.","Balm MN, Lee CK, Lee HK, Chiu L, Koay ES, Tang JW.A diagnostic polymerase chain reaction assay for Zika virus. J Med Virol. 2012 Sep; 84(9):1501-5." 
22923343,"Chastel C","2012","Oct","[When some Flaviviruses are throwing our certainties].","Chastel C.[When some Flaviviruses are throwing our certainties]. Bull Soc Pathol Exot. 2012 Oct; 105(4):251-5." 
22953014,"Li MI, Wong PS, Ng LC, Tan CH","2012","","Oral susceptibility of Singapore Aedes (Stegomyia) aegypti (Linnaeus) to Zika virus.","Li MI, Wong PS, Ng LC, Tan CH.Oral susceptibility of Singapore Aedes (Stegomyia) aegypti (Linnaeus) to Zika virus. PLoS Negl Trop Dis. 2012; 6(8):e1792." 
23057269,"Fokam EB, Levai LD, Guzman H, Amelia PA, Titanji VP, Tesh RB, Weaver SC","2010","Jun","Silent circulation of arboviruses in Cameroon.","Fokam EB, Levai LD, Guzman H, Amelia PA, Titanji VP, Tesh RB, Weaver SC.Silent circulation of arboviruses in Cameroon. East Afr Med J. 2010 Jun; 87(6):262-8." 
23878182,"Kwong JC, Druce JD, Leder K","2013","Sep","Zika virus infection acquired during brief travel to Indonesia.","Kwong JC, Druce JD, Leder K.Zika virus infection acquired during brief travel to Indonesia. Am J Trop Med Hyg. 2013 Sep; 89(3):516-7." 
23936579,"Wong PS, Li MZ, Chong CS, Ng LC, Tan CH","2013","","Aedes (Stegomyia) albopictus (Skuse): a potential vector of Zika virus in Singapore.","Wong PS, Li MZ, Chong CS, Ng LC, Tan CH.Aedes (Stegomyia) albopictus (Skuse): a potential vector of Zika virus in Singapore. PLoS Negl Trop Dis. 2013; 7(8):e2348." 
24148652,"Faye O, Faye O, Diallo D, Diallo M, Weidmann M, Sall AA","2013","Oct","Quantitative real-time PCR detection of Zika virus and evaluation with field-caught mosquitoes.","Faye O, Faye O, Diallo D, Diallo M, Weidmann M, Sall AA.Quantitative real-time PCR detection of Zika virus and evaluation with field-caught mosquitoes. Virol J. 2013 Oct 22; 10:311." 
24421913,"Faye O, Freire CC, Iamarino A, Faye O, de Oliveira JV, Diallo M, Zanotto PM, Sall AA","2014","","Molecular evolution of Zika virus during its emergence in the 20(th) century.","Faye O, Freire CC, Iamarino A, Faye O, de Oliveira JV, Diallo M, Zanotto PM, Sall AA.Molecular evolution of Zika virus during its emergence in the 20(th) century. PLoS Negl Trop Dis. 2014; 8(1):e2636." 
24507466,"Kutsuna S, Kato Y, Takasaki T, Moi M, Kotaki A, Uemura H, Matono T, Fujiya Y, Mawatari M, Takeshita N, Hayakawa K, Kanagawa S, Ohmagari N","2014","Jan","Two cases of Zika fever imported from French Polynesia to Japan, December 2013 to January 2014 [corrected].","Kutsuna S, Kato Y, Takasaki T, Moi M, Kotaki A, Uemura H, Matono T, Fujiya Y, Mawatari M, Takeshita N, Hayakawa K, Kanagawa S, Ohmagari N.Two cases of Zika fever imported from French Polynesia to Japan, December 2013 to January 2014 [corrected]. Euro Surveill. 2014 Jan 30; 19(4)" 
24507467,"Tappe D, Rissland J, Gabriel M, Emmerich P, Gunther S, Held G, Smola S, Schmidt-Chanasit J","2014","Jan","First case of laboratory-confirmed Zika virus infection imported into Europe, November 2013.","Tappe D, Rissland J, Gabriel M, Emmerich P, Gunther S, Held G, Smola S, Schmidt-Chanasit J.First case of laboratory-confirmed Zika virus infection imported into Europe, November 2013. Euro Surveill. 2014 Jan 30; 19(4)" 
