pmcid,issn,pubtype,pubdate
26859285,1424-7860,Journal Article,2016/02/09
26860137,0029-6570,News,2016/02/10
26860150,0029-6570,Journal Article,2016/02/10
26862812,0028-4793,Comment,2016/03/10
26862926,0028-4793,Journal Article,2016/03/10
26863963,0028-0836,News,2016/02/11
26864175,0003-4819,Journal Article,2016/04/19
26864344,0959-8138,News,2016/02/10
26864962,0140-6736,Journal Article,2016/02/13
26865476,2168-6165,Journal Article,2016/02/09
26865554,2168-6165,Journal Article,2016/02/09
26866485,0149-2195,Journal Article,2016/02/12
26866840,0149-2195,Journal Article,2016/02/12
26868414,0959-8138,News,2016/02/11
26868672,0959-8138,News,2016/02/11
26872416,1477-8939,Journal Article,2016/01/01
26876061,1477-8939,Journal Article,2016/01/01
26876373,0140-6736,Journal Article,2016/02/20
26879565,1477-8939,Editorial,2016/01/01
26879566,1477-8939,Editorial,2016/01/01
26880123,0140-6736,Letter,2016/02/27
26884455,0002-9637,Journal Article,2016/08/03
26888897,0095-1137,Journal Article,2016/04/01
26889662,0029-7844,Journal Article,2016/04/01
26890059,0149-2195,Journal Article,2016/02/19
26890470,0149-2195,Journal Article,2016/02/19
26892436,1046-7408,Journal Article,2016/04/01
26893150,2168-6203,Journal Article,2016/04/01
26893468,0959-8138,News,2016/02/18
26895850,0142-6338,Editorial,2016/02/01
26896047,0028-3878,Editorial,2016/04/05
26897106,1473-3099,Journal Article,2016/06/01
26897108,1473-3099,Journal Article,2016/06/01
26897760,0049-8114,Journal Article,2016/02/19
26898198,1025-496X,Journal Article,2016/01/01
26898855,0140-6736,Letter,2016/02/27
26901275,0002-9378,Journal Article,2016/06/01
26902867,0959-8138,News,2016/02/22
26903031,1355-0284,Journal Article,2016/06/01
26903610,0002-9637,Journal Article,2016/07/06
26905027,2222-1751,Journal Article,2016/02/24
26906627,0140-6736,Letter,2016/03/05
26906886,0028-2162,Journal Article,2015/01/01
26907929,0266-4356,Editorial,2016/05/01
26908259,0969-9546,Editorial,2016/04/01
26911164,0966-0461,Journal Article,2016/02/25
26911655,0197-5897,Journal Article,2016/05/01
26911940,2095-4352,Journal Article,2016/02/01
26912676,0036-8075,News,2016/02/05
26913304,0140-6736,News,2016/02/20
26914330,1935-2727,Journal Article,2016/02/25
26914500,0149-2195,Journal Article,2016/02/26
26914596,0098-7484,News,2016/03/15
26914692,0098-7484,Journal Article,2016/03/22
26914810,0003-4819,Journal Article,2016/05/17
26915933,0256-9574,Editorial,2016/02/04
26917636,0960-1643,Editorial,2016/03/01
26917790,0959-8138,Comment,2016/02/25
26918506,1368-5031,Editorial,2016/03/01
26918507,1368-5031,Editorial,2016/03/01
26919943,1995-7645,Journal Article,2016/02/01
26920038,0959-8138,Journal Article,2016/02/26
26921165,0959-8138,News,2016/02/26
26921241,0959-8138,Journal Article,2016/02/26
26921737,1386-6532,Letter,2016/04/01
26921913,0140-6736,Journal Article,2016/03/05
26922438,1474-4422,Comment,2016/04/01
26922439,1474-4422,Editorial,2016/04/01
26923081,1201-9712,Journal Article,2016/04/01
26923098,0960-7692,Journal Article,2016/05/01
26923117,1473-3099,Journal Article,2016/04/01
26925496,0896-8411,Historical Article,2016/04/01
26927301,0959-8138,News,2016/02/29
26927449,2036-6590,Journal Article,2016/02/28
26927450,2036-6590,Journal Article,2016/02/28
26927699,0361-929X,Journal Article,2016/07/01
26931360,0959-8138,Journal Article,2016/03/01
26932263,0932-0113,Journal Article,2016/05/01
26932976,0959-8138,Comment,2016/03/01
26934531,1935-2727,Journal Article,2016/03/02
26935676,0028-0836,News,2016/03/03
26937612,1078-8956,News,2016/03/01
26937739,0149-2195,Journal Article,2016/03/04
26938703,0149-2195,Journal Article,2016/03/04
26938868,1935-2727,Journal Article,2016/03/03
26939047,0735-1631,Journal Article,2016/06/01
26939607,1025-496X,Journal Article,2016/01/01
26939897,1476-0711,Editorial,2016/03/03
26940218,1049-023X,Editorial,2016/04/01
26940504,0163-4453,Journal Article,2016/05/01
26940642,0959-8138,News,2016/03/03
26941134,2169-8287,Journal Article,2016/03/03
26942903,0025-7680,Journal Article,2016/01/01
26943629,0028-4793,Journal Article,2016/12/15
26943916,1058-0468,Journal Article,2016/04/01
26944027,0140-6736,Letter,2016/03/12
26944028,0140-6736,Letter,2016/03/12
26944581,1674-7305,News,2016/04/01
26945482,0001-706X,Journal Article,2016/06/01
26945753,1058-0468,Editorial,2016/04/01
26946926,0140-6736,Journal Article,2016/04/02
26947167,0025-7753,Letter,2016/04/01
26947168,0025-7753,Letter,2016/04/01
26947169,0025-7753,Editorial,2016/04/01
26947268,0960-7692,Comment,2016/04/01
26948207,1354-5752,News,2016/03/01
26948432,0140-6736,Comment,2016/04/09
26948433,0140-6736,Journal Article,2016/04/09
26949027,1473-3099,Journal Article,2016/04/01
26950736,0034-8376,Journal Article,2015/11/01
26951454,0735-1631,Journal Article,2016/03/07
26951804,0959-8138,News,2016/03/07
26952389,1201-9712,Editorial,2016/04/01
26952548,0140-6736,Journal Article,2016/04/09
26952646,1935-7893,Journal Article,2016/04/01
26952701,1935-7893,Comment,2016/04/01
26952870,1934-5909,Journal Article,2016/05/05
26953673,1547-1896,Journal Article,2016/04/01
26955231,1011-8934,Editorial,2016/03/01
26956448,2222-1751,News,2016/03/09
26957316,1935-7893,Journal Article,2016/10/01
26958738,0028-4793,Letter,2016/04/21
26958936,0028-4793,Journal Article,2016/04/21
26959248,0090-0036,Editorial,2016/04/01
26959253,0090-0036,Editorial,2016/04/01
26959258,0090-0036,Journal Article,2016/04/01
26959259,0090-0036,Journal Article,2016/04/01
26959260,0090-0036,Historical Article,2016/04/01
26959308,0028-4793,Journal Article,2016/04/21
26960050,0443-5117,Journal Article,2016/03/01
26960051,0443-5117,Journal Article,2016/03/01
26960598,1121-7138,Journal Article,2016/03/10
26960750,1477-8939,Letter,2016/03/01
26961015,1438-3276,Interview,2016/02/04
26961437,1750-8460,Editorial,2016/03/01
26961637,0028-0836,News,2016/03/10
26961646,0028-0836,Comment,2016/03/10
26961650,0028-0836,Letter,2016/03/10
26962217,0022-538X,Journal Article,2016/04/29
26962237,0022-1899,Journal Article,2016/06/01
26963535,1087-0156,News,2016/03/01
26963564,0098-7484,Journal Article,2016/05/10
26963593,0149-2195,Journal Article,2016/03/11
26964604,0007-0610,Journal Article,2016/03/11
26965035,0959-8138,News,2016/03/10
26965108,1674-0769,News,2016/04/01
26965596,0036-8075,News,2016/03/11
26965888,0716-1018,Journal Article,2016/02/01
26965962,0929-6646,Historical Article,2016/04/01
26966326,0042-9686,Interview,2016/03/01
26967758,1025-496X,Journal Article,2016/01/01
26969497,0094-5145,Journal Article,2016/06/01
26969782,1516-8484,Letter,2016/01/01
26969966,0960-7692,Journal Article,2016/04/01
26970698,1876-0341,Letter,2017/01/01
26972490,1477-8939,Letter,2016/05/01
26973301,1473-3099,Editorial,2016/03/01
26975308,1573-4099,Editorial,2016/01/01
26976611,1757-4676,Journal Article,2016/04/01
26978530,1096-2964,Editorial,2016/04/01
26978815,0023-7205,Journal Article,2016/03/10
26979935,0959-8138,News,2016/03/15
26980239,2222-1751,Journal Article,2016/03/16
26980631,0009-9074,Journal Article,2016/01/01
26981761,1806-8324,Journal Article,2016/01/01
26985518,,Review,2016/02/29
26985587,0023-7213,Journal Article,2016/03/01
26985845,0025-729X,Journal Article,2016/03/21
26985965,0149-2195,Journal Article,2016/03/18
26986702,2326-5094,Journal Article,2016/03/01
26987769,1025-496X,Journal Article,2016/01/01
26988027,1025-496X,Comment,2016/01/01
26988170,0210-0010,Journal Article,2016/04/01
26988337,1025-496X,Comment,2016/01/01
26988905,1759-4758,Comment,2016/04/01
26991057,1530-3667,Journal Article,2016/05/01
26991663,1935-2727,Editorial,2016/03/18
26993028,1286-4579,Journal Article,2016/05/01
26993436,0213-005X,Journal Article,2016/04/01
26993654,1674-7305,Letter,2016/04/01
26993880,0140-6736,Comment,2016/05/21
26993883,0140-6736,Journal Article,2016/05/21
26994075,0099-2240,Journal Article,2016/05/02
26994509,0002-9343,Journal Article,2016/08/01
26994814,0213-005X,Journal Article,2016/04/01
26996139,0166-3542,Journal Article,2016/06/01
26997578,1473-3099,Letter,2016/05/01
26998633,0003-9888,Journal Article,2016/07/01
27000001,1660-9379,Journal Article,2016/02/03
27000068,0009-9228,Journal Article,2016/07/01
27000244,0022-510X,Editorial,2016/04/15
27001187,1741-7015,Journal Article,2016/03/21
27001741,0820-3946,Journal Article,2016/04/19
27004142,1043-3155,Journal Article,2016/01/01
27004695,1519-566X,Journal Article,2016/08/01
27005012,1876-0341,Letter,2016/05/01
27005530,0254-6450,Journal Article,2016/03/01
27005721,1727-5482,Journal Article,2015/09/01
27006779,2052-2975,Journal Article,2016/02/11
27007567,0036-4665,Letter,2016/01/01
27008481,0104-4230,Journal Article,2016/01/01
27009036,0031-4005,Journal Article,2016/05/01
27010422,0149-2195,Journal Article,2016/03/25
27011140,0002-936X,Journal Article,2016/04/01
27012221,1286-4579,Journal Article,2016/07/01
27012725,0959-8138,News,2016/03/24
27013108,0929-6646,Editorial,2016/04/01
27013110,0929-6646,Journal Article,2016/04/01
27013429,0036-8075,Journal Article,2016/04/15
27013839,0974-777X,Journal Article,2016/01/01
27015222,0025-7974,Journal Article,2016/03/01
27015734,0264-410X,Editorial,2016/04/29
27016009,1477-8939,Letter,2016/03/01
27016775,0190-9622,Editorial,2016/06/01
27016785,0143-4004,Editorial,2016/04/01
27019049,1568-9972,Journal Article,2016/08/01
27020989,0300-2977,Journal Article,2016/03/01
27021935,1935-7893,Journal Article,2016/10/01
27022155,0002-9637,Journal Article,2016/06/01
27023395,0041-1337,Journal Article,2016/05/01
27023833,0149-2195,Journal Article,2016/03/25
27025322,0140-6736,Congresses,2016/03/19
27028271,1139-6121,News,2016/01/01
27028561,0028-4793,Historical Article,2016/04/21
27028667,0028-4793,Journal Article,2016/06/02
27028782,0028-4793,Journal Article,2016/05/12
27029595,0893-8512,Journal Article,2016/07/01
27029817,0305-1846,Journal Article,2016/06/01
27029869,0254-5853,Journal Article,2016/03/18
27029872,0959-8138,News,2016/03/30
27029927,1641-9251,Journal Article,2016/01/01
27031450,2036-6590,Journal Article,2016/03/31
27031608,2168-6203,Journal Article,2016/07/01
27031817,0149-2195,Journal Article,2016/04/01
27031943,0149-2195,Journal Article,2016/04/01
27032078,0149-2195,Journal Article,2016/04/01
27032431,0041-5782,Journal Article,2016/03/21
27032458,1935-7893,Journal Article,2016/10/01
27032485,0370-4106,Editorial,2016/03/01
27032927,1573-4099,Journal Article,2016/01/01
27033547,0036-8075,Journal Article,2016/04/22
27036749,0021-7557,Editorial,2016/03/01
27037098,0191-9601,Journal Article,2016/04/01
27038091,1939-5116,Journal Article,2017/01/01
27038591,1934-5909,Journal Article,2016/05/05
27039447,1660-9379,Journal Article,2016/02/10
27039875,1879-6257,Journal Article,2016/04/01
27040593,0950-2688,Journal Article,2016/07/01
27040615,1526-498X,Journal Article,2017/01/01
27041640,1138-3593,Letter,2017/04/01
27044278,0959-8138,News,2016/04/04
27045056,1079-2082,News,2016/04/15
27045503,1553-9768,Journal Article,2016/04/01
27046524,0025-6196,Historical Article,2016/04/01
27046925,2261-3684,Journal Article,2016/01/01
27048000,0015-4199,Journal Article,2016/03/01
27048745,1058-4838,Journal Article,2016/07/15
27048746,1058-4838,Letter,2016/07/01
27049675,0021-7557,Journal Article,2016/05/01
27050112,0028-4793,Letter,2016/06/02
27050856,0004-282X,Journal Article,2016/03/01
27052666,1476-7058,Journal Article,2017/02/01
27052792,1726-4901,Journal Article,2016/04/01
27052794,1876-0341,Journal Article,2016/05/01
27053037,1297-9589,Editorial,2016/04/01
27053131,0932-0113,Journal Article,2016/06/01
27054688,0149-2195,Journal Article,2016/04/08
27054989,1087-0156,Journal Article,2016/04/01
27055196,0891-1150,Editorial,2016/04/01
27055200,0891-1150,Journal Article,2016/04/01
27055374,0755-4982,Editorial,2016/03/01
27055385,1025-496X,Editorial,2016/01/01
27056096,1473-3099,Letter,2016/05/01
27056643,0959-8138,Journal Article,2016/04/07
27057874,0025-7974,Journal Article,2016/04/01
27058728,1935-2727,Editorial,2016/04/08
27058990,0020-7292,Historical Article,2016/05/01
27060380,1568-9972,Letter,2016/08/01
27060381,1568-9972,Letter,2016/08/01
27060396,0266-6138,Editorial,2016/04/01
27060565,0042-6822,Journal Article,2016/06/01
27060613,1477-8939,Letter,2016/05/01
27060691,0012-1622,Journal Article,2016/09/01
27063354,1198-743X,Letter,2016/07/01
27063652,1477-8939,Letter,2016/05/01
27063653,1477-8939,Letter,2016/05/01
27063794,1025-496X,Journal Article,2016/01/01
27064148,0036-8075,Journal Article,2016/05/13
27066299,2157-3999,Journal Article,2016/03/16
27066743,1931-3128,Journal Article,2016/05/11
27066744,1931-3128,Journal Article,2016/05/11
27066795,1674-7305,Journal Article,2016/05/01
27067096,1198-743X,Editorial,2016/06/01
27067205,0028-3940,Letter,2016/08/01
27068488,1473-3099,Letter,2016/05/01
27069344,1052-1372,Journal Article,2016/04/01
27069825,2167-8359,Journal Article,2016/04/05
27070380,1080-6040,Journal Article,2016/07/01
27070735,1080-6040,Letter,2016/06/01
27070847,1080-6040,Letter,2016/07/01
27070912,1935-2727,Journal Article,2016/04/12
27071041,1080-6040,Journal Article,2016/06/01
27071531,1567-1348,Journal Article,2016/07/01
27072040,1476-7058,Letter,2017/03/01
27073228,0959-8138,News,2016/04/12
27074312,0098-7484,Journal Article,2016/06/14
27074330,0098-7484,Journal Article,2016/06/14
27074370,0028-4793,Letter,2016/06/02
27074377,0028-4793,Journal Article,2016/05/19
27075009,0959-8138,Journal Article,2016/04/13
27075309,0932-0113,Journal Article,2016/07/01
27076507,0035-9203,Editorial,2016/04/01
27077095,2352-3964,Journal Article,2016/03/11
27078057,0149-2195,Journal Article,2016/04/15
27078190,0149-2195,Journal Article,2016/04/15
27078543,0028-0836,News,2016/04/07
27078587,0025-729X,Editorial,2016/04/18
27079865,0368-2315,Journal Article,2016/05/01
27080092,0256-7040,Journal Article,2016/06/01
27081746,1527-0297,Journal Article,2016/06/01
27082204,0036-8733,Journal Article,2016/04/01
27083694,0959-8138,News,2016/04/15
27083981,0959-8138,Comment,2016/04/15
27087204,0254-6450,Journal Article,2016/04/01
27088194,1426-9686,Editorial,2016/03/01
27088243,1080-6040,Letter,2016/05/01
27088298,2329-6933,Journal Article,2016/06/01
27088323,1080-6040,Letter,2016/05/01
27088494,1080-6040,Journal Article,2016/05/01
27088574,1080-6040,Letter,2016/05/01
27088817,1080-6040,Letter,2016/05/01
27088970,1080-6040,Letter,2016/05/01
27088990,1545-9993,Journal Article,2016/05/01
27089120,1080-6040,Letter,2016/05/01
27089202,1946-6234,Editorial,2016/03/16
27089253,1080-6040,Letter,2016/05/01
27089758,0040-781X,News,2016/02/08
27089762,0015-8259,Journal Article,2016/03/01
27090089,2050-084X,Journal Article,2016/04/19
27090438,0009-9236,Journal Article,2016/07/01
27090801,0301-0449,Journal Article,2016/06/01
27091703,1931-3128,Journal Article,2016/05/11
27091724,0010-7824,Journal Article,2016/08/01
27092361,1478-2715,Editorial,2016/03/01
27093158,1935-2727,Journal Article,2016/04/19
27093288,0028-0836,Journal Article,2016/05/19
27093766,1044-9167,Journal Article,2016/04/01
27093860,2049-9957,Journal Article,2016/04/19
27094497,0266-4356,Letter,2016/12/01
27096299,0102-311X,Journal Article,2016/01/01
27096300,0102-311X,Journal Article,2016/01/01
27096910,0360-4039,Journal Article,2016/05/01
27098947,1117-1936,Journal Article,2016/01/01
27099632,1755-8166,Journal Article,2016/04/19
27100826,1080-6040,Letter,2016/07/01
27100970,0443-5117,Letter,2016/05/01
27101541,0149-2195,Journal Article,2016/04/22
27102015,1756-3305,Evaluation Studies,2016/04/21
27102780,1413-8670,Journal Article,2016/05/01
27102926,1876-0341,Letter,2017/01/01
27103126,0140-6736,Letter,2016/04/30
27103128,0140-6736,Letter,2016/04/30
27103718,2169-8287,Journal Article,2016/04/21
27104366,1025-496X,Journal Article,2016/04/14
27104968,0092-8674,Journal Article,2016/04/21
27104970,0092-8674,Journal Article,2016/04/21
27105225,1935-2727,Journal Article,2016/04/22
27105638,1674-0769,Letter,2016/04/01
27105655,0163-4453,Letter,2016/07/01
27105931,1471-4922,Journal Article,2016/07/01
27107300,1198-743X,Journal Article,2016/04/01
27111294,1935-2727,Journal Article,2016/04/25
27111356,1526-5161,Editorial,2016/05/01
27111968,1462-2815,News,2016/03/01
27111981,0026-6396,Journal Article,2016/01/01
27113107,0022-2585,Journal Article,2016/09/01
27114968,2250-1541,Journal Article,2016/03/01
27115536,0021-8561,Journal Article,2016/05/11
27115737,1935-2727,Journal Article,2016/04/26
27115821,0140-6736,Journal Article,2016/04/02
27118425,0092-8674,Journal Article,2016/05/19
27118575,0342-4642,Journal Article,2016/09/01
27119012,2045-3701,Journal Article,2016/04/26
27119524,0098-7484,Interview,2016/05/17
27119589,1052-9276,Editorial,2016/07/01
27119856,1438-3276,News,2016/03/03
27123558,1025-496X,Journal Article,2016/04/21
27124623,0146-6615,Journal Article,2016/08/01
27126052,1025-496X,Journal Article,2016/04/21
27128355,1386-6532,Journal Article,2016/07/01
27129450,1674-0769,Journal Article,2016/04/01
27129451,1674-0769,Journal Article,2016/04/01
27130436,0022-2836,Journal Article,2016/08/28
27130673,0012-6543,Journal Article,2016/05/01
27134728,2046-1402,Journal Article,2016/02/09
27134732,2046-1402,Journal Article,2016/04/05
27134823,2214-2509,Journal Article,2016/04/07
27135717,0003-4819,Journal Article,2016/08/02
27137695,0767-0974,Journal Article,2016/04/01
27138556,0256-7040,Letter,2016/08/01
27139219,1080-6040,Letter,2016/08/01
27139439,0002-9637,Editorial,2016/06/01
27139440,0002-9637,Journal Article,2016/07/06
27140691,1740-1526,Journal Article,2016/06/01
27142055,0959-8138,Letter,2016/05/03
27143081,0578-1310,Journal Article,2016/05/01
27143174,0100-879X,Journal Article,2016/01/01
27143305,0102-311X,Editorial,2016/01/01
27143490,0074-0276,Journal Article,2016/05/01
27144515,1080-6040,Journal Article,2016/08/01
27148186,1664-302X,Journal Article,2016/04/19
27149205,0149-2195,Journal Article,2016/05/06
27149521,1935-2727,Journal Article,2016/05/05
27149628,1935-2727,Comment,2016/05/05
27149896,1470-0328,Journal Article,2016/07/01
27150136,1470-0328,Journal Article,2016/07/01
27150274,1470-0328,Journal Article,2016/07/01
27150456,1470-0328,Journal Article,2016/07/01
27150532,1759-4758,Journal Article,2016/06/01
27150580,1470-0328,,2016/07/01
27150736,1470-0328,Journal Article,2016/07/01
27150951,1470-0328,Journal Article,2016/07/01
27151137,1470-0328,Journal Article,2016/07/01
27151254,1470-0328,Editorial,2016/07/01
27151369,1470-0328,Journal Article,2016/07/01
27152436,1934-5909,Comment,2016/05/05
27153063,1422-0067,Journal Article,2016/05/04
27154090,0029-6570,Journal Article,2016/05/04
27156023,1931-3128,Journal Article,2016/06/08
