pmcid,issn,pubtype,pubdate,summary
4946541,0370-8179,Biography,1971-03-01,"Vraćević M.[Zika b. Marković, M.D. (19 September 1889--3 September 1970)]. Srp Arh Celok Lek. 1971 Mar; 99(3):209-11. "
26842033,0028-0836,News,2016-02-04,Butler D.Zika virus: Brazil's surge in small-headed babies questioned by report. Nature. 2016 Feb 4; 530(7588):13-4. 
26842604,0959-8138,News,2016-02-03,"O'Dowd A.UK is safe from Zika virus and is helping towards a vaccine, MPs hear. BMJ. 2016 Feb 3; 352:i692. "
26848011,0959-8138,News,2016-02-04,"McCarthy M.Zika virus was transmitted by sexual contact in Texas, health officials report. BMJ. 2016 Feb 4; 352:i720. "
26849748,0870-399X,Editorial,2015-11-01,Brito C.Zika Virus: A New Chapter in the History of Medicine. Acta Med Port. 2015 Nov-Dec; 28(6):679-80. 
26849896,0959-8138,News,2016-02-05,Gulland A.WHO warns European countries to be on alert for Zika. BMJ. 2016 Feb 5; 352:i753. 
26850984,0140-6736,Comment,2016-02-20,"Paz S, Semenza JC.El Niño and climate change--contributing factors in the dispersal of Zika virus in the Americas? Lancet. 2016 Feb 20; 387(10020):745. "
26852261,0140-6736,News,2016-02-06,"Samarasekera U, Triunfol M.Concern over Zika virus grips the world. Lancet. 2016 Feb 6; 387(10018):521-4. "
26856896,0959-8138,Editorial,2016-02-08,Lucey DR.Time for global action on Zika virus epidemic. BMJ. 2016 Feb 8; 352:i781. 
26858259,0959-8138,News,2016-02-08,McCarthy M.CDC updates Zika virus guidance to protect pregnant women. BMJ. 2016 Feb 8; 352:i786. 
26860137,0029-6570,News,2016-02-10,Healthcare staff encouraged to warn patients of the risks of the Zika virus. Nurs Stand. 2016 Feb 10; 30(24):9. 
26862812,0028-4793,Comment,2016-03-10,"Rubin EJ, Greene MF, Baden LR.Zika Virus and Microcephaly. N Engl J Med. 2016 Mar 10; 374(10):984-5. "
26863963,0028-0836,News,2016-02-11,Check Hayden E.Proving Zika link to birth defects poses huge challenge. Nature. 2016 Feb 11; 530(7589):142-3. 
26864344,0959-8138,News,2016-02-10,McCarthy M.Severe eye damage in infants with microcephaly is presumed to be due to Zika virus. BMJ. 2016 Feb 10; 352:i855. 
26868414,0959-8138,News,2016-02-11,Kmietowicz Z.Research bodies vow to share data on Zika. BMJ. 2016 Feb 11; 352:i877. 
26868672,0959-8138,News,2016-02-11,O'Dowd A.UK records four cases of Zika virus in past six weeks. BMJ. 2016 Feb 11; 352:i875. 
26879565,1477-8939,Editorial,2016-01-01,Rodriguez-Morales AJ.Zika and microcephaly in Latin America: An emerging threat for pregnant travelers? Travel Med Infect Dis. 2016 Jan-Feb; 14(1):5-6. 
26879566,1477-8939,Editorial,2016-01-01,"Wilson ME, Schlagenhauf P.Aedes and the triple threat of DENV, CHIKV, ZIKV--Arboviral risks and prevention at the 2016 Rio Olympic games. Travel Med Infect Dis. 2016 Jan-Feb; 14(1):1-4. "
26880123,0140-6736,Letter,2016-02-27,Roa M.Zika virus outbreak: reproductive health and rights in Latin America. Lancet. 2016 Feb 27; 387(10021):843. 
26912676,0036-8075,News,2016-02-05,Cohen J.INFECTIOUS DISEASE. The race for a Zika vaccine is on. Science. 2016 Feb 5; 351(6273):543-4. 
26893468,0959-8138,News,2016-02-18,McCarthy M.WHO sets out $56m Zika virus response plan. BMJ. 2016 Feb 18; 352:i1042. 
26895850,0142-6338,Editorial,2016-02-01,Simkiss D.Zika Virus. J Trop Pediatr. 2016 Feb; 62(1):1-2. 
26896047,0028-3878,Editorial,2016-04-05,Birbeck GL.Zika virus: What the neurologist wants to know. Neurology. 2016 Apr 5; 86(14):1272-4. 
26898855,0140-6736,Letter,2016-02-27,"Vouga M, Musso D, Van Mieghem T, Baud D.CDC guidelines for pregnant women during the Zika virus outbreak. Lancet. 2016 Feb 27; 387(10021):843-4. "
26902867,0959-8138,News,2016-02-22,Gulland A.Genetically modified mosquitos may be used in fight against Zika. BMJ. 2016 Feb 22; 352:i1086. 
26906627,0140-6736,Letter,2016-03-05,"Karimi O, Goorhuis A, Schinkel J, Codrington J, Vreden SGS, Vermaat JS, Stijnis C, Grobusch MP.Thrombocytopenia and subcutaneous bleedings in a patient with Zika virus infection. Lancet. 2016 Mar 5; 387(10022):939-940. "
26907929,0266-4356,Editorial,2016-05-01,Shakib K.Epidemic of Zika virus and maxillofacial surgery. Br J Oral Maxillofac Surg. 2016 May; 54(4):355-7. 
26908259,0969-9546,Editorial,2016-04-01,"Graham CA.Continuing challenges: migrants, terrorism, weather and Zika. Eur J Emerg Med. 2016 Apr; 23(2):79. "
26913304,0140-6736,News,2016-02-20,Maurice J.WHO reveals its shopping list for weapons against Zika. Lancet. 2016 Feb 20; 387(10020):733. 
26914596,0098-7484,News,2016-03-15,Jacob JA.Researchers Focus on Solving the Zika Riddles. JAMA. 2016 Mar 15; 315(11):1097-9. 
26915933,0256-9574,Editorial,2016-02-04,"Jansen van Vuren P, Weyer J, Kemp A, Dermaux-Msimang V, McCarthy K, Blumberg L, Paweska J.Is South Africa at risk for Zika virus disease? S Afr Med J. 2016 Feb 4; 106(3):232-3. "
26917636,0960-1643,Editorial,2016-03-01,"Burke RM, Pandya P, Nastouli E, Gothard P.Zika virus infection during pregnancy: what, where, and why? Br J Gen Pract. 2016 Mar; 66(644):122-3. "
26917790,0959-8138,Comment,2016-02-25,Iacobucci G.Zika highlights need for ethical framework for developing vaccines for pregnant women. BMJ. 2016 Feb 25; 352:i1155. 
26918506,1368-5031,Editorial,2016-03-01,Citrome L.Zika and You. Int J Clin Pract. 2016 Mar; 70(3):181-2. 
26918507,1368-5031,Editorial,2016-03-01,"Stein RA.Zika: where it has been, where it is going, and how to stop it. Int J Clin Pract. 2016 Mar; 70(3):182-5. "
26921165,0959-8138,News,2016-02-26,McCarthy M.US health officials investigate sexually transmitted Zika virus infections. BMJ. 2016 Feb 26; 352:i1180. 
26921737,1386-6532,Letter,2016-04-01,"Campos Rde M, Cirne-Santos C, Meira GL, Santos LL, de Meneses MD, Friedrich J, Jansen S, Ribeiro MS, da Cruz IC, Schmidt-Chanasit J, Ferreira DF.Prolonged detection of Zika virus RNA in urine samples during the ongoing Zika virus epidemic in Brazil. J Clin Virol. 2016 Apr; 77:69-70. "
26922438,1474-4422,Comment,2016-04-01,Shakir R.Neurological expertise is essential for Zika virus infection. Lancet Neurol. 2016 Apr; 15(4):353-4. 
26922439,1474-4422,Editorial,2016-04-01,"The Lancet Neurology.Zika virus: a little less speculation, a little more action. Lancet Neurol. 2016 Apr; 15(4):343. "
26927301,0959-8138,News,2016-02-29,McCarthy M.Zika cases climb to 147 in US and Puerto Rico. BMJ. 2016 Feb 29; 352:i1212. 
26932976,0959-8138,Comment,2016-03-01,Wise J.Study links Zika virus to Guillain-Barré syndrome. BMJ. 2016 Mar 1; 352:i1242. 
26935676,0028-0836,News,2016-03-03,Check Hayden E.Spectre of Ebola haunts Zika response. Nature. 2016 Mar 3; 531(7592):19. 
26937612,1078-8956,News,2016-03-01,Becker R.Missing link: Animal models to study whether Zika causes birth defects. Nat Med. 2016 Mar; 22(3):225-7. 
26939897,1476-0711,Editorial,2016-03-03,"Rodriguez-Morales AJ, Bandeira AC, Franco-Paredes C.The expanding spectrum of modes of transmission of Zika virus: a global concern. Ann Clin Microbiol Antimicrob. 2016 Mar 3; 15:13. "
26940218,1049-023X,Editorial,2016-04-01,Stratton SJ.Zika Virus Association with Microcephaly: The Power for Population Statistics to Identify Public Health Emergencies. Prehosp Disaster Med. 2016 Apr; 31(2):119-20. 
26940642,0959-8138,News,2016-03-03,"Gulland A.Zika virus may be linked to several birth defects, expert warns. BMJ. 2016 Mar 3; 352:i1322. "
26944027,0140-6736,Letter,2016-03-12,"Jouannic JM, Friszer S, Leparc-Goffart I, Garel C, Eyrolle-Guignot D.Zika virus infection in French Polynesia. Lancet. 2016 Mar 12; 387(10023):1051-1052. "
26944028,0140-6736,Letter,2016-03-12,"Dupont-Rouzeyrol M, Biron A, O'Connor O, Huguon E, Descloux E.Infectious Zika viral particles in breastmilk. Lancet. 2016 Mar 12; 387(10023):1051. "
26944581,1674-7305,News,2016-04-01,"Li XF, Han JF, Shi PY, Qin CF.Zika virus: a new threat from mosquitoes. Sci China Life Sci. 2016 Apr; 59(4):440-2. "
26945753,1058-0468,Editorial,2016-04-01,"Rowland A, Washington CI, Sheffield JS, Pardo-Villamizar CA, Segars JH.Zika virus infection in semen: a call to action and research. J Assist Reprod Genet. 2016 Apr; 33(4):435-7. "
26947167,0025-7753,Letter,2016-04-01,"Roure S, de Ory F, Matas L.[Infection imported virus Zika in an area settled by Aedes albopictus]. Med Clin (Barc). 2016 Apr 1; 146(7):332-3. "
26947168,0025-7753,Letter,2016-04-01,"Reyna-Villasmil E, López-Sánchez G, Santos-Bolívar J.[Guillain-Barré syndrome due to Zika virus during pregnancy]. Med Clin (Barc). 2016 Apr 1; 146(7):331-2. "
26947169,0025-7753,Editorial,2016-04-01,"Trilla A, Vilella A.[The Zika virus out of America]. Med Clin (Barc). 2016 Apr 1; 146(7):308-10. "
26947268,0960-7692,Comment,2016-04-01,"Alvarado-Socarras JL, Rodriguez-Morales AJ.Etiological agents of microcephaly: implications for diagnosis during the current Zika virus epidemic. Ultrasound Obstet Gynecol. 2016 Apr; 47(4):525-6. "
26948207,1354-5752,News,2016-03-01,Science committee calls on government to build Zika virus evidence base. Emerg Nurse. 2016 Mar; 23(10):6. 
26948432,0140-6736,Comment,2016-04-09,"Smith DW, Mackenzie J.Zika virus and Guillain-Barré syndrome: another viral cause to add to the list. Lancet. 2016 Apr 9; 387(10027):1486-8. "
26951804,0959-8138,News,2016-03-07,"Mayor S.Zika infection in pregnancy is linked to range of fetal abnormalities, data indicate. BMJ. 2016 Mar 7; 352:i1362. "
26952389,1201-9712,Editorial,2016-04-01,"Zumla A, Goodfellow I, Kasolo F, Ntoumi F, Buchy P, Bates M, Azhar EI, Cotten M, Petersen E.Zika virus outbreak and the case for building effective and sustainable rapid diagnostics laboratory capacity globally. Int J Infect Dis. 2016 Apr; 45:92-4. "
27596253,0959-8138,News,2016-09-05,"Gulland A.Continued spread of Zika raises many research questions, WHO says. BMJ. 2016 Sep 5; 354:i4812. "
26952701,1935-7893,Comment,2016-04-01,Burkle FM Jr.Zika: Defining the Public Health and Exposing its Vulnerabilities. Disaster Med Public Health Prep. 2016 Apr; 10(2):296-7. 
26955231,1011-8934,Editorial,2016-03-01,Lee J.Zika virus Infection: New Threat in Global Health. J Korean Med Sci. 2016 Mar; 31(3):331-2. 
26956448,2222-1751,News,2016-03-09,"Ai JW, Zhang Y, Zhang W.Zika virus outbreak: 'a perfect storm'. Emerg Microbes Infect. 2016 Mar 9; 5:e21. "
26958738,0028-4793,Letter,2016-04-21,"Carteaux G, Maquart M, Bedet A, Contou D, Brugières P, Fourati S, Cleret de Langavant L, de Broucker T, Brun-Buisson C, Leparc-Goffart I, Mekontso Dessap A.Zika Virus Associated with Meningoencephalitis. N Engl J Med. 2016 Apr 21; 374(16):1595-6. "
26959248,0090-0036,Editorial,2016-04-01,Rodrigues LC.Zika: The Tragedy and the Opportunities. Am J Public Health. 2016 Apr; 106(4):582. 
26959253,0090-0036,Editorial,2016-04-01,"Bell BP, Boyle CA, Petersen LR.Preventing Zika Virus Infections in Pregnant Women: An Urgent Public Health Priority. Am J Public Health. 2016 Apr; 106(4):589-90. "
26960750,1477-8939,Letter,2016-03-01,"Villamil-Gómez WE, Mendoza-Guete A, Villalobos E, González-Arismendy E, Uribe-García AM, Castellanos JE, Rodríguez-Morales AJ.Diagnosis, management and follow-up of pregnant women with Zika virus infection: A preliminary report of the ZIKERNCOL cohort study on Sincelejo, Colombia. Travel Med Infect Dis. 2016 Mar-Apr; 14(2):155-8. "
26961015,1438-3276,Interview,2016-02-04,"Schmidt-Chanasit J, Schumacher B.[Travel warning due to Zika viruses]. MMW Fortschr Med. 2016 Feb 4; 158(2):8. "
26961437,1750-8460,Editorial,2016-03-01,"Paixão ES, Rodrigues LC.What we need to know about Zika virus. Br J Hosp Med (Lond). 2016 Mar; 77(3):124-5. "
26961637,0028-0836,News,2016-03-10,Butler D.First Zika-linked birth defects detected in Colombia. Nature. 2016 Mar 10; 531(7593):153. 
26961646,0028-0836,Comment,2016-03-10,Kirk EP.Zika virus: accurate terminology matters. Nature. 2016 Mar 10; 531(7593):173. 
26961650,0028-0836,Letter,2016-03-10,Scheuermann RH.Zika virus: designate standardized names. Nature. 2016 Mar 10; 531(7593):173. 
26963535,1087-0156,News,2016-03-01,Waltz E.GM mosquitoes fire first salvo against Zika virus. Nat Biotechnol. 2016 Mar; 34(3):221-2. 
26965035,0959-8138,News,2016-03-10,Gulland A.WHO strengthens Zika travel advice to pregnant women. BMJ. 2016 Mar 10; 352:i1460. 
26965108,1674-0769,News,2016-04-01,"Liu SQ, Zhang B.Zika virus: a flavivirus caused pandemics in Latin America. Virol Sin. 2016 Apr; 31(2):101-2. "
26965596,0036-8075,News,2016-03-11,Vogel G.INFECTIOUS DISEASE. Evidence grows for Zika virus as pregnancy danger. Science. 2016 Mar 11; 351(6278):1123-4. 
26966326,0042-9686,Interview,2016-03-01,Bispo A.Brazil's scientists scramble to solve the Zika puzzle. Bull World Health Organ. 2016 Mar 1; 94(3):165-6. 
26969782,1516-8484,Letter,2016-01-01,"Kashima S, Slavov SN, Covas DT.Zika virus and its implication in transfusion safety. Rev Bras Hematol Hemoter. 2016 Jan-Feb; 38(1):90-1. "
26970698,1876-0341,Letter,2017-01-01,"Villamil-Gómez WE, Rodriguez-Morales AJ.Reply: Dengue RT-PCR-positive, Chikungunya IgM-positive and Zika RT-PCR-positive co-infection in a patient from Colombia. J Infect Public Health. 2017 Jan - Feb; 10(1):133-134. "
26972490,1477-8939,Letter,2016-05-01,"Tridane A, El Khajah A, Ali BR.The possible threat of Zika virus in the Middle East. Travel Med Infect Dis. 2016 May-Jun; 14(3):277-8. "
26973301,1473-3099,Editorial,2016-03-01,Zika virus in the dock. Lancet Infect Dis. 2016 Mar; 16(3):265. 
26975308,1573-4099,Editorial,2016-01-01,"Basak SC, Nandy A.Editorial: Computer-Assisted Approaches as Decision Support Systems in the Overall Strategy of Combating Emerging Diseases: Some Comments Regarding Drug Design, Vaccinomics, and Genomic Surveillance of the Zika Virus. Curr Comput Aided Drug Des. 2016; 12(1):2-4. "
26978530,1096-2964,Editorial,2016-04-01,Fry DE.Zika Virus Infection and Surgery. Surg Infect (Larchmt). 2016 Apr; 17(2):123. 
26979935,0959-8138,News,2016-03-15,McCarthy M.US health officials press Congress for Zika funds. BMJ. 2016 Mar 15; 352:i1545. 
26988027,1025-496X,Comment,2016-01-01,Vorou R.Letter to the editor: diagnostic challenges to be considered regarding Zika virus in the context of the presence of the vector Aedes albopictus in Europe. Euro Surveill. 2016; 21(10):30161. 
26988337,1025-496X,Comment,2016-01-01,"Venturi G, Zammarchi L, Fortuna C, Remoli ME, Benedetti E, Fiorentini C, Trotta M, Rizzo C, Mantella A, Rezza G, Bartoloni A.Authors' reply: diagnostic challenges to be considered regarding Zika virus in the context of the presence of the vector Aedes albopictus in Europe. Euro Surveill. 2016; 21(10):30163. "
26988905,1759-4758,Comment,2016-04-01,Malkki H.CNS infections: Zika virus infection could trigger Guillain-Barré syndrome. Nat Rev Neurol. 2016 Apr; 12(4):187. 
26991663,1935-2727,Editorial,2016-03-18,Russell PK.The Zika Pandemic - A Perfect Storm? PLoS Negl Trop Dis. 2016 Mar; 10(3):e0004589. 
26993654,1674-7305,Letter,2016-04-01,"Deng YQ, Zhao H, Li XF, Zhang NN, Liu ZY, Jiang T, Gu DY, Shi L, He JA, Wang HJ, Sun ZZ, Ye Q, Xie DY, Cao WC, Qin CF.Isolation, identification and genomic characterization of the Asian lineage Zika virus imported to China. Sci China Life Sci. 2016 Apr; 59(4):428-30. "
26993880,0140-6736,Comment,2016-05-21,Rodrigues LC.Microcephaly and Zika virus infection. Lancet. 2016 May 21; 387(10033):2070-2072. 
26997578,1473-3099,Letter,2016-05-01,"Gardner LM, Chen N, Sarkar S.Global risk of Zika virus depends critically on vector status of Aedes albopictus. Lancet Infect Dis. 2016 May; 16(5):522-523. "
27000244,0022-510X,Editorial,2016-04-15,Shakir R.Neurologists and Zika. J Neurol Sci. 2016 Apr 15; 363:164. 
27005012,1876-0341,Letter,2016-05-01,"Cardona-Cardona AF, Rodríguez Morales AJ.Severe abdominal pain in a patient with Zika infection: A case in Risaralda, Colombia. J Infect Public Health. 2016 May-Jun; 9(3):372-3. "
27007567,0036-4665,Letter,2016-01-01,"Freitas AR, Angerami RN, von Zuben AP, Donalisio MR.INTRODUCTION AND TRANSMISSION OF ZIKA VIRUS IN BRAZIL: NEW CHALLENGES FOR THE AMERICAS. Rev Inst Med Trop Sao Paulo. 2016; 58:24. "
27012725,0959-8138,News,2016-03-24,Gulland A.WHO's Chan warns over spread of Zika virus beyond Latin America. BMJ. 2016 Mar 24; 352:i1739. 
27013108,0929-6646,Editorial,2016-04-01,Huang LM.How can we deal with Zika virus infection? J Formos Med Assoc. 2016 Apr; 115(4):221-2. 
27015734,0264-410X,Editorial,2016-04-29,"Palacios R, Poland GA, Kalil J.Another emerging arbovirus, another emerging vaccine: Targeting Zika virus. Vaccine. 2016 Apr 29; 34(20):2291-3. "
27016009,1477-8939,Letter,2016-03-01,"Taylor KA, Paterson BJ.Zika virus from a Pacific perspective: What are the risks to Australians? Travel Med Infect Dis. 2016 Mar-Apr; 14(2):159-61. "
27016775,0190-9622,Editorial,2016-06-01,"Farahnik B, Beroukhim K, Blattner CM, Young J 3rd.Cutaneous manifestations of the Zika virus. J Am Acad Dermatol. 2016 Jun; 74(6):1286-7. "
27016785,0143-4004,Editorial,2016-04-01,"Sadovsky Y, Clifton VL, Knöfler M.Editorial: ZIKA virus and placenta. Placenta. 2016 Apr; 40:A1. "
27025322,0140-6736,Congresses,2016-03-19,Maurice J.WHO meeting thrashes out R&amp;D strategy against Zika. Lancet. 2016 Mar 19; 387(10024):1147. 
27028271,1139-6121,News,2016-01-01,"Barreiro P.Evolving RNA Virus Pandemics: HIV, HCV, Ebola, Dengue, Chikunguya, and now Zika! AIDS Rev. 2016 Jan-Mar; 18(1):54-5. "
27029872,0959-8138,News,2016-03-30,"McCarthy M.Couples at risk from exposure to Zika virus should consider delaying pregnancy, says CDC. BMJ. 2016 Mar 30; 352:i1813. "
27032485,0370-4106,Editorial,2016-03-01,"Vial Claro PA, Araos Bralic RI.[Zika virus in a New World]. Rev Chil Pediatr. 2016 Mar-Apr; 87(2):79-81. "
27036749,0021-7557,Editorial,2016-03-01,"de Oliveira CS, da Costa Vasconcelos PF.Microcephaly and Zika virus. J Pediatr (Rio J). 2016 Mar-Apr; 92(2):103-5. "
27041640,1138-3593,Letter,2017-04-01,"Sánchez Carnerero CI, Alcántara Montero A.[Provisional considerations about Zika virus infection in pregnant women: Document for health professionals]. Semergen. 2017 Apr; 43(3):252-254. "
27044278,0959-8138,News,2016-04-04,"McCarthy M.Vectors for Zika virus may spread further than was previously thought, CDC reports. BMJ. 2016 Apr 4; 353:i1914. "
27045056,1079-2082,News,2016-04-15,Traynor K.Public health officials alarmed at spread of Zika virus. Am J Health Syst Pharm. 2016 Apr 15; 73(8):508-9. 
27048746,1058-4838,Letter,2016-07-01,"Moreira J, Lamas CC, Siqueira A.Sexual Transmission of Zika Virus: Implications for Clinical Care and Public Health Policy. Clin Infect Dis. 2016 Jul 1; 63(1):141-2. "
27050112,0028-4793,Letter,2016-06-02,"Hazin AN, Poretti A, Di Cavalcanti Souza Cruz D, Tenorio M, van der Linden A, Pena LJ, Brito C, Gil LH, de Barros Miranda-Filho D, Marques ET, Turchi Martelli CM, Alves JG, Huisman TA.Computed Tomographic Findings in Microcephaly Associated with Zika Virus. N Engl J Med. 2016 Jun 2; 374(22):2193-5. "
27053037,1297-9589,Editorial,2016-04-01,"Jouannic JM, Huissoud C.[Zika virus and pregnancy]. Gynecol Obstet Fertil. 2016 Apr; 44(4):193-4. "
